0.98405775565610; 0.10879000000000001; 0.10851461538461539
0.98599893212669; 0.10879000000000001; 0.10851384615384616
0.98785184615384; 0.10878923076923078; 0.10851461538461539
0.98981075113122; 0.10879153846153847; 0.10851461538461539
0.99187542986425; 0.10879076923076923; 0.1085123076923077
0.99386957466063; 0.10879153846153847; 0.10904153846153847
0.99551066968325; 0.10878923076923078; 0.10851461538461539
0.99805192760181; 0.10879153846153847; 0.10851538461538462
0.99988716742081; 0.10879000000000001; 0.1090423076923077



   
  
   
   
   
   
   
   
  
